ชื่อเมนู (TH),ชื่อเมนู (EN),ราคา (บาท),รูปภาพ (Path),หมวดหมู่
ไข่หวาน,Japanese Egg Omelet,30,images/ไข่หวาน.jpg,Nigiri
ไข่หวานกับชีส,Japanese Egg Omelet w/ Cheese,30,,Nigiri
คานิคามะ,Crab Stick,30,images/คานิคามะ.jpg,Gunkan
คานิคามะกับหัวหอม,Crab Stick w/ Onion,30,images/คานิคามะกับหัวหอม.jpg,Gunkan
สลัดคานิคามะ,Crab Stick Mayo Salad,30,images/สลัดคานิคามะ.jpg,Gunkan
สลัดข้าวโพด,Corn Mayo Salad,30,images/สลัดข้าวโพด.jpg,Gunkan
นัตโตะ,Natto Gunkan,30,images/นัตโตะ.jpg,Gunkan
แตงกวาโรล,Cucumber Roll,30,images/แตงกวาโรล.jpg,Roll
อินาริซูชิ,Inari,30,images/อินาริซูชิ.jpg,Roll
มากุโระ,Tuna,40,images/มากุโระ.jpg,Nigiri
มากุโระหมักซอสโชยุ,Tuna @w/ Soy Sauce Marinade,40,images/มากุโระหมักซอสโชยุ.jpg,Nigiri
แซลมอนคัดพิเศษกับมะเขือเทศซอสเบซิล,Fresh Salmon @w/ Tomato Basil,40,images/แซลมอนคัดพิเศษกับมะเขือเทศซอสเบซิล.jpg,Nigiri
สโมคแซลมอน,Smoked Salmon,40,,Nigiri
ท้องแซลมอนจัมโบ้,Jumbo Salmon Belly,40,images/ท้องแซลมอนจัมโบ้.jpg,Nigiri
ท้องแซลมอนย่าง,Broiled Salmon Belly,40,images/ท้องแซลมอนย่าง.jpg,Nigiri
แซลมอนย่างชีส,Salmon @w/ Cheese,40,images/แซลมอนย่างชีส.jpg,Nigiri
แซลมอนย่างชีสซอสเบซิล,Salmon @w/ Basil Cheese,40,images/แซลมอนย่างชีสซอสเบซิล.jpg,Nigiri
ท้องแซลมอนย่างกับหัวไชเท้าขูด,Salmon Belly @w/ Radish,40,images/ท้องแซลมอนย่างกับหัวไชเท้าขูด.jpg,Nigiri
แซลมอนคัดพิเศษย่าง,Broiled Fresh Salmon,40,images/แซลมอนคัดพิเศษย่าง.jpg,Nigiri
ปลาซาบะย่าง,Grilled Mackerel,40,images/ปลาซาบะย่าง.jpg,Nigiri
ปลาซาบะดองโรยงากับต้นหอม,Vinegared Mackerel @w/ Sesame & Green Onion,40,images/ปลาซาบะดองโรยงากับต้นหอม.jpg,Nigiri
ปลาซาบะดอง,Vinegared Mackerel,40,images/ปลาซาบะดอง.jpg,Nigiri
ปลาอาจิโรยต้นหอมกับขิง,Jack Mackerel @w/ Green Onion & Ginger,40,images/ปลาอาจิโรยต้นหอมกับขิง.jpg,Nigiri
ปลาอิวาชิดองโรยต้นหอมกับขิง,Vinegared Sardine @w/ Green Onion & Ginger,40,images/ปลาอิวาชิดองโรยต้นหอมกับขิง.jpg,Nigiri
ฮนมากุโระอาคามิ,Special Bluefin Tuna,40,images/ฮนมากุโระอาคามิ.jpg,Nigiri
ปลาหมึก,Squid,40,images/ปลาหมึก.jpg,Nigiri
ปลาหมึกกับเลมอนโรยเกลือ,Squid w/ Salt & Lemon,40,images/ปลาหมึกกับเลมอนโรยเกลือ.jpg,Nigiri
ปลาหมึกยุกเกะ,Squid Yuki Poke,40,,Nigiri
ปลาหมึกกล้วยทั้งตัว,Spear Squid,40,images/ปลาหมึกกล้วยทั้งตัว.jpg,Nigiri
ปลาหมึกกับไข่ปลาทาราโกะ,Squid Topped w/ Cod Roe,40,images/ปลาหมึกกับไข่ปลาทาราโกะ.jpg,Nigiri
กุ้งสด,Fresh Shrimp,40,images/กุ้งสด.jpg,Nigiri
